origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a39r1,545947.1865386876,1332659.6370670423,a40r0,545107.9912057455,1330164.2196130906,"[3, 1, 1, 7, 3]"
a38r1,545232.1884979304,1332659.7787601028,a40r0,545107.9912057455,1330164.2196130906,"[2, 1, 1, 7, 3]"
a32r1,548470.1161675743,1332583.577471612,a40r0,545107.9912057455,1330164.2196130906,"[3, 3, 7, 1, 7, 3]"
a5r1,545964.1050372064,1332687.7894485786,a40r0,545107.9912057455,1330164.2196130906,"[7, 3, 1, 1, 7, 3]"
a25r0,547524.3349056605,1331096.278301887,a40r0,545107.9912057455,1330164.2196130906,"[3, 1, 3, 5, 7, 3]"
a46r1,545713.0653848067,1331917.7455625804,a34r0,546295.5248551389,1330699.0127550354,"[1, 6]"
a9r1,546273.2142857142,1332648.6123051257,a34r0,546295.5248551389,1330699.0127550354,"[6, 7, 1, 6]"
a23r0,544946.6865942029,1330289.675111033,a34r0,546295.5248551389,1330699.0127550354,"[6, 2, 4, 6]"
a15r0,546279.0,1330658.9814757747,a34r0,546295.5248551389,1330699.0127550354,[0]
a42r1,547338.698041558,1332533.2713725318,a34r0,546295.5248551389,1330699.0127550354,"[1, 1, 3]"
a19r0,548934.3368675595,1331262.2857142857,a14r0,546243.0,1330563.0,"[3, 7, 3, 3, 1, 1]"
a24r0,547558.0,1331116.0,a14r0,546243.0,1330563.0,"[7, 3, 1, 3, 1, 1]"
a8r1,546237.0,1332732.0,a14r0,546243.0,1330563.0,"[6, 6, 7, 1, 6, 1, 1]"
a33r1,546288.544564873,1332614.554657809,a14r0,546243.0,1330563.0,"[7, 1, 6, 1, 1]"
a15r0,546279.0,1330658.9814757747,a14r0,546243.0,1330563.0,[1]
a15r0,546279.0,1330658.9814757747,a0r1,545175.0,1332624.0,"[0, 5, 0, 0, 3, 7, 7]"
a31r1,548506.8043478262,1332575.0,a0r1,545175.0,1332624.0,"[3, 3, 3, 7, 0, 3, 7, 7]"
a40r0,545107.9912057455,1330164.2196130906,a0r1,545175.0,1332624.0,"[2, 4, 0, 0, 3, 7, 7]"
a43r1,545585.3841463415,1332539.4588414633,a0r1,545175.0,1332624.0,"[3, 7, 7]"
a6r1,545184.0,1332714.0,a0r1,545175.0,1332624.0,"[6, 6, 7, 7]"
a27r2,548722.3654078756,1332438.9653042448,a6r1,545184.0,1332714.0,"[1, 7, 3, 3, 5, 0, 0, 3, 5, 5]"
