Model,Mean Reward,Std Reward,Complexity_of_Environment
JCD_Average-Regular_Approach1_547524.3349056605_1331096.278301887.z8,"[-1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 24.0, -1.0, 25.0, -1.0, 25.0, 24.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.5
CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 24.0, 25.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",0.5
AW_Average-Regular_Approach1_546535.0_1036314.0.z8,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 24.0, 25.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",0.5
MMK_arial_Approach1_545263.125_2189438.620689655.z8,"[25.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -2.0, 25.0, -1.0, 25.0, -1.0, -2.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.5
CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,"[-126.0, -14.0, -54.0, -12.0, -292.0, -19.0, -59.0, -51.0, 17.0, -30.0, -52.0, -20.0, 13.0, -2.0, -372.0, -208.0, -192.0, -18.0, 23.0, -161.0, -114.0, 14.0, -87.0, -33.0, -122.0, -66.0, -50.0, -230.0, -71.0, -13.0, -136.0, -122.0, -114.0, -125.0, -15.0, -84.0, 12.0, -7.0, -129.0, 24.0, -9.0, -138.0, -159.0, -36.0, -99.0, -162.0, 14.0, -16.0, -54.0, -104.0, -27.0, -24.0, -35.0, -81.0, -144.0, -65.0, -34.0, -1.0, -53.0, -13.0, -100.0, 24.0, -162.0, -292.0, -25.0, 7.0, -64.0, -16.0, -56.0, -102.0, -7.0, -11.0, -61.0, 24.0, -179.0, -22.0, -17.0, -160.0, -59.0, -153.0, -4.0, -260.0, -51.0, -20.0, 7.0, -113.0, -309.0, -71.0, -120.0, -81.0, -139.0, -41.0, -115.0, 8.0, -41.0, -39.0, -119.0, -30.0, -99.0, -185.0]","[152, 14, 54, 12, 292, 45, 59, 51, 9, 30, 78, 20, 13, 2, 398, 234, 218, 44, 3, 161, 140, 12, 87, 59, 122, 92, 50, 230, 97, 39, 162, 122, 140, 151, 15, 110, 14, 33, 155, 2, 9, 138, 159, 36, 99, 188, 12, 16, 54, 104, 27, 24, 35, 81, 144, 91, 60, 1, 79, 13, 100, 2, 188, 292, 51, 19, 64, 42, 82, 128, 7, 11, 87, 2, 179, 22, 43, 186, 85, 153, 4, 286, 77, 46, 19, 113, 335, 97, 120, 107, 139, 67, 115, 18, 41, 65, 119, 56, 99, 211]",0.5
ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,"[-1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, -2.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.5
ACI_Average-Regular_Approach1_547313.8275346498_1005814.3004094235.z8,"[-1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 24.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.5
KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,"[-126.0, -13.0, -6.0, -5.0, -78.0, -24.0, -100.0, -53.0, -15.0, -65.0, -86.0, -9.0, -13.0, -94.0, -33.0, -4.0, -12.0, -187.0, -10.0, -81.0, -123.0, -11.0, -158.0, -8.0, -7.0, -241.0, -15.0, -76.0, -38.0, -77.0, -117.0, -5.0, -4.0, -109.0, -148.0, -73.0, -8.0, -60.0, -4.0, -16.0, -66.0, -130.0, -53.0, -2.0, -28.0, -21.0, 21.0, -54.0, -44.0, -144.0, 16.0, -40.0, -14.0, -21.0, -32.0, -6.0, -142.0, -37.0, -74.0, -16.0, -44.0, -37.0, -2.0, -53.0, -9.0, -4.0, -19.0, -2.0, -30.0, -62.0, 16.0, 7.0, -37.0, -9.0, -37.0, -159.0, -4.0, -43.0, -5.0, -17.0, -31.0, 6.0, -9.0, -77.0, -81.0, -9.0, -22.0, -26.0, -48.0, -83.0, -99.0, -18.0, -55.0, -92.0, -139.0, 22.0, -89.0, -17.0, -28.0, 16.0]","[152, 13, 6, 5, 78, 50, 100, 79, 41, 65, 86, 9, 13, 94, 33, 4, 12, 187, 10, 107, 123, 11, 158, 8, 7, 241, 15, 76, 38, 103, 117, 5, 4, 109, 148, 73, 8, 60, 4, 16, 66, 130, 79, 28, 28, 21, 5, 54, 70, 144, 10, 66, 14, 21, 32, 6, 168, 37, 100, 42, 44, 63, 2, 53, 9, 4, 45, 2, 56, 62, 10, 19, 37, 35, 63, 159, 4, 43, 5, 17, 31, 20, 9, 77, 81, 9, 48, 26, 48, 109, 99, 18, 55, 92, 139, 4, 115, 17, 28, 10]",0.5
BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,"[25.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.5
BTM_Average-Regular_Approach2_526626.3458504475_1072620.6181536037.z8,"[-1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.5
WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,"[25.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -2.0, 25.0, -1.0, 25.0, -1.0, -2.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.5
AZH_Average-Regular_Approach1_549293.0876068375_1051488.1662393163.z8,"[25.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.75
AXF_Average-Regular_Approach1_549436.9799058654_1043183.8416606324.z8,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.75
AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,"[25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -2.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.75
AKV_Average-Regular_Approach1_548634.5645125471_1019060.8024650232.z8,"[25.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -2.0, 25.0, -1.0, 25.0, -1.0, -2.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.75
BTM_Average-Regular_Approach1_548064.0_1081904.0.z8,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 24.0, 25.0, 25.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1]",0.75
